CITY,bagclar-108001534517552645,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,karang-turi-108001534490316166,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Jateng bathtub,Unique stays,tiket CLEAN"
AREA,banyuanyar-411001635996015133,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Jateng bathtub,Unique stays,tiket CLEAN"
AREA,paccerakkang-408001629536024076,"Elite Rewards,Budget,Luxury,Family Hotels,Business hotels,Unique stays,tiket CLEAN"
AREA,straits-view-411001636009520135,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,simpang-selayang-412001639172289694,"Super Hemat,Special Price,Elite Rewards,Weekday Deals,Luxury,Family Hotels,Business hotels,Unique stays,tiket CLEAN"
AREA,losari-210001571737515697,"Elite Rewards,Bali Nusra Jatin Longtail,Homes Hemat,Budget,Luxury,Family Hotels,Business hotels,Malang Villa,Malang Homestay,Unique stays,tiket CLEAN"
AREA,van-chuong-108001534517119952,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,cengkereng-barat-108001534490357131,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Luxury,Family Hotels,Business hotels,Jakarta Apartment,Jakarta Bathtub,Unique stays,tiket CLEAN"
AREA,lembongan-410001635532218968,"Elite Rewards,Bali Nusra Jatin Longtail,Budget,Luxury,Family Hotels,Business hotels,Bali - resort,Bali Villa,Unique stays,tiket CLEAN"
AREA,quec-oai-108001534533667565,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,sukaluyu-108001534490374345,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Bandung Villa,Unique stays,tiket CLEAN"
AREA,taman-cheras-108001534527476043,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,penangungan-108001534490318829,"Elite Rewards,Bali Nusra Jatin Longtail,Homes Hemat,Budget,Luxury,Family Hotels,Business hotels,Malang Villa,Malang Homestay,Unique stays,tiket CLEAN"
AREA,suka-raja-108001534490295430,"Super Hemat,Special Price,Elite Rewards,Weekday Deals,Luxury,Family Hotels,Business hotels,Unique stays,tiket CLEAN"
AREA,khuong-dinh-108001534526483641,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,sidorahayu-306001593196041858,"Elite Rewards,Bali Nusra Jatin Longtail,Homes Hemat,Budget,Luxury,Family Hotels,Business hotels,Malang Villa,Malang Homestay,Unique stays,tiket CLEAN"
AREA,terban-405001622229635773,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Yogyakarta Villa,Unique stays,tiket CLEAN"
AREA,baoan-108001534516909782,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,sumberjo-108001534490299606,"Elite Rewards,Bali Nusra Jatin Longtail,Homes Hemat,Budget,Luxury,Family Hotels,Business hotels,Malang Villa,Malang Homestay,Unique stays,tiket CLEAN"
AREA,buakana-108001534490319107,"Elite Rewards,Budget,Luxury,Family Hotels,Business hotels,Unique stays,tiket CLEAN"
CITY,pattaya-202001551089133945,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,pejaten-barat-108001534490302220,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Luxury,Family Hotels,Business hotels,Jakarta Apartment,Jakarta Bathtub,Unique stays,tiket CLEAN"
AREA,trung-van-206001560509100061,"Elite Rewards,Luxury,Family Hotels,Business hotels,Unique stays"
AREA,panyileukan-501001641550759494,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Bandung Villa,Unique stays,tiket CLEAN"
AREA,manyaran-108001534528289798,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Jateng bathtub,Unique stays,tiket CLEAN"
AREA,laksanamekar-409001631693375171,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Weekday Deals,Luxury,Family Hotels,Business hotels,Bandung Villa,Unique stays,tiket CLEAN"
AREA,bali-mester-108001534490356066,"Super Hemat,Special Price,Elite Rewards,Homes Hemat,Luxury,Family Hotels,Business hotels,Jakarta Apartment,Jakarta Bathtub,Unique stays,tiket CLEAN"
